merged_type	cell_type
"Adipocytes"	"Adipocytes"
"Other"	"Astrocytes"
"CD4+ T-cells"	"CD4+ T-cells"
"CD4+ T-cells"	"CD4+ Tcm"
"CD4+ T-cells"	"CD4+ Tem"
"CD8+ T-cells"	"CD8+ T-cells"
"CD8+ T-cells"	"CD8+ Tcm"
"CD8+ T-cells"	"CD8+ Tem"
"Other"	"Chondrocytes"
"B-cells"	"Class-switched memory B-cells"
"Other"	"CLP"
"Other"	"CMP"
"DC"	"DC"
"Endothelial cells"	"Endothelial cells"
"Other"	"Eosinophils"
"Epithelial cells"	"Epithelial cells"
"Other"	"Erythrocytes"
"Fibroblasts"	"Fibroblasts"
"Other"	"GMP"
"Other"	"HSC"
"Keratinocytes"	"Keratinocytes"
"Macrophages"	"Macrophages"
"Macrophages"	"Macrophages M1"
"Macrophages"	"Macrophages M2"
"Other"	"Megakaryocytes"
"Melanocytes"	"Melanocytes"
"B-cells"	"Memory B-cells"
"Other"	"MEP"
"Other"	"Mesangial cells"
"Monocytes"	"Monocytes"
"Other"	"MPP"
"Endothelial cells"	"mv Endothelial cells"
"Myocytes"	"Myocytes"
"B-cells"	"naive B-cells"
"Other"	"Neurons"
"Other"	"Neutrophils"
"NKs"	"NK cells"
"Other"	"Pericytes"
"Plasma cells"	"Plasma cells"
"Other"	"Preadipocytes"
"Other"	"Skeletal muscle"
"Other"	"Smooth muscle"
"Tregs"	"Tregs"
